time,obj,cube_scale,topk,seed,ee_index,ik_iters,ik_attempts,joint_force,descent_step,descend_clear,vel_close,pos_close,squeeze,fast,fast_scale,n_trials,success_count,success_rate
2025-11-14 20:07:59,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1100.0,0.5,1,0.85,12,6,0.5
2025-11-14 20:09:28,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1100.0,0.7,1,0.85,12,7,0.5833
2025-11-14 20:11:02,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1100.0,1.0,1,0.85,12,6,0.5
2025-11-14 20:12:28,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1300.0,0.5,1,0.85,12,4,0.3333
2025-11-14 20:13:58,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1300.0,0.7,1,0.85,12,4,0.3333
2025-11-14 20:15:32,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1300.0,1.0,1,0.85,12,4,0.3333
2025-11-14 20:16:57,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1500.0,0.5,1,0.85,12,1,0.0833
2025-11-14 20:18:26,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1500.0,0.7,1,0.85,12,2,0.1667
2025-11-14 20:20:00,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1500.0,1.0,1,0.85,12,2,0.1667
2025-11-14 20:32:25,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1100.0,0.7,1,0.85,12,7,0.5833
2025-11-14 20:34:52,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.5,1100.0,0.7,1,0.85,12,6,0.5
